id,name
2604,"Add Ice Cream, Vanilla, (1) scoop"
2605,Add Side of Scrapple
2606,Add Side of Spam®
2607,Add Strawberry Topping
2608,Add Strawberry Topping
2609,Add Strawberry Topping w/Whipped Topping
2610,Add Top Sirloin Steak
2611,Add Top Sirloin Steak
2612,Appetizer Sampler
2613,"Apple Juice, 10 fl oz"
2614,"Apple Juice, 12 fl oz (Kid’s Cup)"
2615,"Apple Juice, 16 fl oz"
2616,"Apple Juice, Carafe"
2617,"Avocado, Bacon & Cheese Omelette"
2618,Baby Cakes
2619,Bacon & Cheddar Hash Brown Stack with Fresh Fruit
2620,Bacon & Cheddar Hash Brown Stack with Pancakes
2621,Bacon & Cheddar Stuffed Crepes
2622,Bacon Cheddar Chicken Sandwich
2623,Bacon Temptation Omelette
2624,Bacon Wrapped Sirloin Steak & Eggs
2625,Bacon’N Beef™ Bacon & Egg Cheeseburger w/Bacon Patty
2626,Bacon’N Beef™ Bacon & Egg Cheeseburger w/Beef Patty
2627,Bacon’N Beef™ Bacon Cheeseburger w/Bacon Patty
2628,Bacon’N Beef™ Bacon Cheeseburger w/Beef Patty
2629,Bacon’N Beef™ Cheeseburger w/Bacon Patty
2630,Bacon’N Beef™ Cheeseburger w/Beef Patty
2631,Bacon’N Beef™ Mega Mushroom Burger w/Bacon Patty
2632,Bacon’N Beef™ Mega Mushroom Burger w/Beef Patty
2633,Baked Potato
2634,Belgian Waffle Combo
2635,Belgian Waffle w/Butter
2636,"Belgian Waffle, Plain"
2637,Big Country Breakfast
2638,Big Country Breakfast
2639,Big Steak Omelette
2640,Big Two-Egg Breakfast
2641,Biscuits & Gravy Combo w/Country Gravy
2642,Biscuits & Gravy Combo w/Sausage Gravy
2643,Breakfast Sampler
2644,Broccoli Cheese Soup
2645,Broccoli Cheese Soup
2646,Broccoli Cheese Soup
2647,Broccoli Cheese Soup
2648,Cheese Blintzes
2649,Cheese Omelette
2650,Cheeseburger
2651,Cheesy Western Omelette with Fresh Fruit
2652,Cheesy Western Omelette with Pancakes
2653,Chicken & Spinach Salad
2654,Chicken & Waffles
2655,Chicken Clubhouse Super Stacker
2656,Chicken Fajita Omelette
2657,Chicken Fajita Quesadilla
2658,Chicken Fajita Salad
2659,Chicken Fajita Salad w/Avocado
2660,Chicken Florentine Crepes
2661,Chicken Fried Chicken & Eggs w/Country Gravy
2662,Chicken Fried Chicken & Eggs w/Sausage Gravy
2663,Chicken Fried Chicken w/Country Gravy
2664,Chicken Fried Chicken w/Sausage Gravy
2665,Chicken Noodle Soup
2666,Chicken Noodle Soup
2667,Chicken Noodle Soup
2668,Chicken Noodle Soup
2669,Chicken Tortilla Soup
2670,Chicken Tortilla Soup
2671,Chicken Tortilla Soup
2672,Chicken Tortilla Soup
2673,Chocolate Chip Pancakes (4)
2674,Chorizo & Eggs
2675,CINN-A-STACK® French Toast
2676,CINN-A-STACK® Pancakes (4)
2677,Cinnamon Swirl French Toast Combo
2678,Classic Skillets
2679,"Coffee, Cup"
2680,"Coffee, Full Carafe"
2681,Colorado Omelette
2682,Corned Beef Hash & Cheese Omelette
2683,Corned Beef Hash & Eggs
2684,Country Omelette
2685,Country/Chicken Fried Steak & Eggs w/Country Gravy
2686,Country/Chicken Fried Steak & Eggs w/Sausage Gravy
2687,Country/Chicken Fried Steak Dinner w/Country Gravy
2688,Country/Chicken Fried Steak Dinner w/Sausage Gravy
2689,"Cranberry Juice, 10 fl oz"
2690,"Cranberry Juice, 12 fl oz (Kid’s Cup)"
2691,"Cranberry Juice, 16 fl oz"
2692,"Cranberry Juice, Carafe"
2693,"Create Your Own Omelette, Plain"
2694,"Create Your Own Omelette, Plain w/Egg Substitute"
2695,"Create Your Own Viva La French Toast Combo, Blueberry"
2696,"Create Your Own Viva La French Toast Combo, CINN-A-STACK®"
2697,"Create Your Own Viva La French Toast Combo, Cinnamon Apple"
2698,"Create Your Own Viva La French Toast Combo, Original"
2699,"Create Your Own Viva La French Toast Combo, Strawberry"
2700,"Create Your Own Viva La French Toast Combo, Strawberry Banana"
2701,"Create Your Own Viva La French Toast Combo, Whole Wheat"
2702,Create-A-Face Pancake
2703,Crispy Chicken Salad w/Fried Chicken
2704,Crispy Chicken Salad w/Grilled Chicken
2705,Crispy Chicken Strips
2706,Crispy Chicken Strips
2707,Crispy Chicken Strips & Fries
2708,Crispy Strawberry Banana Cheesecake
2709,Dill Pickle Spear
2710,Double BLT
2711,Double Blueberry Pancakes (4)
2712,Eggs Benedict
2713,"Flavored Coffee, French Vanilla"
2714,"Flavored Coffee, Swiss Mocha"
2715,French Onion Pot Roast
2716,French Toast
2717,French Toast
2718,Fruit Crepe w/Blueberry Compote
2719,Fruit Crepe w/Cinnamon Apple Compote
2720,Fruit Crepe w/Strawberry Topping
2721,Funny Face® (Buttermilk)
2722,Funny Face® (Chocolate)
2723,Garden Omelette
2724,Garden Stuffed Crepes
2725,Garlic Bread
2726,German Crepes
2727,"Grapefruit Juice, 10 fl oz"
2728,"Grapefruit Juice, 12 fl oz (Kid’s Cup)"
2729,"Grapefruit Juice, 16 fl oz"
2730,"Grapefruit Juice, Carafe"
2731,Grilled Cheese Sandwich
2732,Grilled Chicken Caesar Salad
2733,"Grilled Chicken Caesar Salad, No Chicken"
2734,Grilled Liver
2735,Grilled Tilapia Hollandaise
2736,Ham & Egg Melt
2737,Harvest Grain ‘N Nut® Pancakes (4)
2738,Hash Brown Crusted Chicken with Country Gravy
2739,Hash Brown Crusted Chicken with Sausage Gravy
2740,Hearty Ham & Cheese Omelette
2741,Herbal Tea
2742,Hot Chocolate
2743,Hot Tea
2744,House Salad
2745,House Salad
2746,House Salad
2747,House Salad
2748,Huevos Rancheros
2749,"Ice Cream Sundae (Ice Cream, Whipped Topping & Cherry)"
2750,"Ice Cream, Chocolate, (1) scoop"
2751,"Ice Cream, Strawberry, (1) scoop"
